title,price,mrp,code,ASIN,url,,
22 Ltrs Blue Casual Backpack (0IP6COLBPNL6I),702,2099,B07CQPJWRH,B07QG5D7GK,https://www.amazon.in/United-Colors-Benetton-Backpack-0IP6COLBPNL6I/dp/B07CQPJWRH/ref=sr_1_65?keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-65,,
Men's Baseball Cap,319,1599,B07L4ZXQT2,B07QKHL91T,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE035I-17C-ST_Red_One/dp/B07L4ZXQT2/ref=sr_1_66?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-66,,
Men's Polo,849,1699,B01I5FYW0A,B07QG5FL54,https://www.amazon.in/United-Colors-Benetton-Mens-8903975244481_16A3C89J5005I_M_Black-100/dp/B01I5FYW0A/ref=sr_1_67?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-67,,
Men's Sweatshirt,954,2399,B07KNJRHZC,B07QJFQCDD,https://www.amazon.in/United-Colors-Benetton-Sweatshirt-18A3SPLJ6016I_901_EL_Black_El/dp/B07KNJRHZC/ref=sr_1_68?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-68,,
Men's Flip-Flops,195,499,B07L5R492X,B07QJFNGFT,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-9-19P8CFFPM213I/dp/B07L5R492X/ref=sr_1_69?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-69,,
Men's Printed Regular fit T-Shirt,573,1399,B07LFRBW5K,B07QJFLK1X,https://www.amazon.in/United-Colors-Benetton-19P3096J4003I_B15_XL_Navy-Blue_X-Large/dp/B07LFRBW5K/ref=sr_1_70?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-70,,
Men's Plain Regular fit Polo,734,1399,B07LGHK1W6,B07QH9H1ML,https://www.amazon.in/United-Colors-Benetton-19P3089J1111I_B15_M_Navy-Blue_Medium/dp/B07LGHK1W6/ref=sr_1_71?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-71,,
Women's Flip-Flops,452,699,B07V8HL2GL,B07QKHLHRJ,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-6-19A8CFFPL436I/dp/B07V8HL2GL/ref=sr_1_72?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-72,,
Men's Sneakers,1621,2499,B06W5HGG27,B07QKYG9W4,https://www.amazon.in/United-Colors-Benetton-Black-Sneakers/dp/B06W5HGG27/ref=sr_1_73?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-73,,
Men's Leather Belt,734,2449,B07L3D7NRH,B07QLWMFYH,https://www.amazon.in/United-Colors-Benetton-Leather-0IP6BFN30A10I-50S_Tan_32/dp/B07L3D7NRH/ref=sr_1_74?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-74,,
Girls' Regular Fit Plain T-Shirt,562,999,B07FBPTH4W,B07QKHJR55,https://www.amazon.in/United-Colors-Benetton-Regular-18A3067CS110I_White_0Y/dp/B07FBPTH4W/ref=sr_1_75?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-75,,
Men's Baseball Cap,319,1599,B07L4ZGNC7,B07QH9KC7M,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE006I-100-ST_Black_One/dp/B07L4ZGNC7/ref=sr_1_76?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-76,,
Boy's Slim fit Jeans,656,1399,B07LCDL2L1,B07QLTX47K,https://www.amazon.in/United-Colors-Benetton-Jeans-19P4DENC0101I_902_Blue_3-4/dp/B07LCDL2L1/ref=sr_1_77?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-77,,
Men's Flip-Flops,205,499,B07L5R47G1,B07QJFN7RX,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-9-19P8CFFPM233I/dp/B07L5R47G1/ref=sr_1_78?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-78,,
Men's Leather Belt,899,2999,B07L3DNWBB,B07QH9DSTV,https://www.amazon.in/United-Colors-Benetton-0IP6BFR35S10I-01A_Black-Brown_38/dp/B07L3DNWBB/ref=sr_1_79?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-79,,
Men's Printed Regular Fit Polo,517,1399,B07KNMPD3Z,B07QLXGDQX,https://www.amazon.in/United-Colors-Benetton-Printed-18P3SPLJ1044I_906_M_Maroon_Medium/dp/B07KNMPD3Z/ref=sr_1_80?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-80,,
Men's Leather Belt,734,2449,B07L34XNHG,B07QLVVS94,https://www.amazon.in/United-Colors-Benetton-Leather-0IP6BC40TC10I-100_Black_32/dp/B07L34XNHG/ref=sr_1_81?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-81,,
Men's Leather Belt,899,2999,B07L3D7PTZ,B07QG5CW5X,https://www.amazon.in/United-Colors-Benetton-0IP6BFR30A10I-01A_Black-Brown_34/dp/B07L3D7PTZ/ref=sr_1_82?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-82,,
Men's Flip-Flops,429,499,B07L635R5W,B07QJFPZ56,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-9-19P8CFFPM216I/dp/B07L635R5W/ref=sr_1_83?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-83,,
Men's Leather Belt,734,2449,B07L3CSN1Z,B07QJFN7J2,https://www.amazon.in/United-Colors-Benetton-Leather-0IP6BC40TC10I-203_Navy_32/dp/B07L3CSN1Z/ref=sr_1_84?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-84,,
Men's Striped Regular Fit T-Shirt,739,1999,B07DLRGQWM,B07QKYCHG6,https://www.amazon.in/United-Colors-Benetton-Striped-18A3096J3114I_901_M_Indigo/dp/B07DLRGQWM/ref=sr_1_85?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-85,,
Men's Printed Regular fit T-Shirt,518,999,B07LFV6491,B07QKHNDSP,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096J3054I_101_L_White_Large/dp/B07LFV6491/ref=sr_1_86?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-86,,
Men's Printed Regular Fit Polo,839,2099,B07KNLPXG9,B07QJFNGG4,https://www.amazon.in/United-Colors-Benetton-Printed-18P3SPLJ106FI_B05_S_Blue_Small/dp/B07KNLPXG9/ref=sr_1_87?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-87,,
Women's Flip-Flops,353,499,B07V8HMFXV,B07QMW3SGC,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-4-19A8CFFPL424I/dp/B07V8HMFXV/ref=sr_1_88?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-88,,
Men's Leather Belt,899,2999,B07L34Q5P9,B07QKHP48J,https://www.amazon.in/United-Colors-Benetton-0IP6BFR30S10I-01A_Black-Brown_32/dp/B07L34Q5P9/ref=sr_1_89?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-89,,
15 Ltrs Sky Blue Casual Backpack(17A6BKPK0L19I),740,1999,B0761WD3PJ,B07QKYC7PX,https://www.amazon.in/United-Colors-Benetton-Backpack-17A6BKPK0L19I/dp/B0761WD3PJ/ref=sr_1_90?keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-90,,
Men's Leather Belt,734,2449,B07L3DD2NV,B07QG5HHG7,https://www.amazon.in/United-Colors-Benetton-Leather-0IP6BFN35A10I-50S_Tan_32/dp/B07L3DD2NV/ref=sr_1_91?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-91,,
Polyester 43 cms Navy Red Gym Shoulder Bag (0IP6GYBGMP05I),1194,2499,B07VTPM7ZW,B07QLX1SV9,https://www.amazon.in/United-Colors-Benetton-Polyester-0IP6GYBGMP05I/dp/B07VTPM7ZW/ref=sr_1_92?keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-92,,
Men's Leather Belt,734,2449,B07L3CSN2J,B07QKHLKN6,https://www.amazon.in/United-Colors-Benetton-Leather-0IP6BC40TC08I-100_Black_32/dp/B07L3CSN2J/ref=sr_1_93?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-93,,
Women's Slippers,203,499,B07L63KKGL,B07QKHL9KR,https://www.amazon.in/United-Colors-Benetton-Slippers-6-19P8CFFPL300I/dp/B07L63KKGL/ref=sr_1_94?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-94,,
Men's Baseball Cap,319,1599,B07L4YGD8C,B07QLTX2MG,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE005I-17C-ST_Red_One/dp/B07L4YGD8C/ref=sr_1_95?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-95,,
Men's Solid Regular Fit Polo,628,1699,B07KNM4LQP,B07QKYFSV9,https://www.amazon.in/United-Colors-Benetton-Regular-18P3SPLJ1041I_901_EL_Blue_El/dp/B07KNM4LQP/ref=sr_1_96?dchild=1&keywords=united+colors+of+benetton&qid=1570700718&s=apparel&sr=1-96,,
